name,thumbnail.path,thumbnail.extension
Crystal,http://i.annihil.us/u/prod/marvel/i/mg/6/c0/52695564bcf1e,jpg
Cyber,http://i.annihil.us/u/prod/marvel/i/mg/1/f0/4c0040521bc06,jpg
Cyclops,http://i.annihil.us/u/prod/marvel/i/mg/6/70/526547e2d90ad,jpg
Dagger,http://i.annihil.us/u/prod/marvel/i/mg/8/e0/528d31c9eac10,jpg
Damage Control,http://i.annihil.us/u/prod/marvel/i/mg/5/00/4c00404b5e1a2,jpg
Daredevil,http://i.annihil.us/u/prod/marvel/i/mg/d/50/50febb79985ee,jpg
Dark Phoenix,http://i.annihil.us/u/prod/marvel/i/mg/9/e0/4ce59f6c7e332,jpg
Darkstar,http://i.annihil.us/u/prod/marvel/i/mg/d/20/4ce59f77ea6f1,jpg
Dazzler,http://i.annihil.us/u/prod/marvel/i/mg/6/10/4fe364b0a2177,jpg
Deadpool,http://i.annihil.us/u/prod/marvel/i/mg/9/90/5261a86cacb99,jpg
Death,http://i.annihil.us/u/prod/marvel/i/mg/5/80/526031f5a21eb,jpg
Deathbird,http://i.annihil.us/u/prod/marvel/i/mg/2/60/4c004041be770,jpg
Destiny,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Detective Soap,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Diablo,http://i.annihil.us/u/prod/marvel/i/mg/c/f0/4ce59f83af33f,jpg
Diamondback (Rachel Leighton),http://i.annihil.us/u/prod/marvel/i/mg/6/f0/526955c158ece,jpg
Doc Samson,http://i.annihil.us/u/prod/marvel/i/mg/3/10/5261a84c1707c,jpg
Doctor Octopus,http://i.annihil.us/u/prod/marvel/i/mg/b/b0/528d31b62eaba,jpg
Domino,http://i.annihil.us/u/prod/marvel/i/mg/f/60/526031dc10516,jpg
Doomsday Man,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available,jpg
Doop,http://i.annihil.us/u/prod/marvel/i/mg/9/80/4c7c646b68a2c,jpg
Dormammu,http://i.annihil.us/u/prod/marvel/i/mg/b/70/4c003f1ddc0e5,jpg
Doctor Doom,http://i.annihil.us/u/prod/marvel/i/mg/3/60/53176bb096d17,jpg
Doctor Strange,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/5261a85a501fe,jpg
Dragon Man,http://i.annihil.us/u/prod/marvel/i/mg/a/f0/4c003f1aa3a1f,jpg
Dum Dum Dugan,http://i.annihil.us/u/prod/marvel/i/mg/e/00/4ce59f9fc788f,jpg
Dust,http://i.annihil.us/u/prod/marvel/i/mg/8/f0/4c003f17db9a6,jpg
Earthquake,http://i.annihil.us/u/prod/marvel/i/mg/2/90/4c003f153b571,jpg
Electro,http://i.annihil.us/u/prod/marvel/i/mg/5/60/4c003f1214bd7,jpg
